time_original,well,OD,isolate,well,hh,mm,ss,time_h
1.12:15:00,A1,0.3706,ATD 4B4,A1,1.12,15,0,1.37
1.12:30:00,A1,0.3719,ATD 4B4,A1,1.12,30,0,1.62
1.12:45:00,A1,0.3728,ATD 4B4,A1,1.12,45,0,1.87
1.13:00:00,A1,0.3734,ATD 4B4,A1,1.13,0,0,1.13
1.13:15:00,A1,0.3732,ATD 4B4,A1,1.13,15,0,1.38
1.13:30:00,A1,0.3743,ATD 4B4,A1,1.13,30,0,1.63
1.13:45:00,A1,0.3732,ATD 4B4,A1,1.13,45,0,1.88
1.14:00:00,A1,0.3735,ATD 4B4,A1,1.14,0,0,1.14
1.14:15:00,A1,0.3746,ATD 4B4,A1,1.14,15,0,1.39
1.14:30:00,A1,0.3735,ATD 4B4,A1,1.14,30,0,1.64
1.14:45:00,A1,0.3739,ATD 4B4,A1,1.14,45,0,1.89
1.15:00:00,A1,0.3734,ATD 4B4,A1,1.15,0,0,1.15
1.15:15:00,A1,0.3741,ATD 4B4,A1,1.15,15,0,1.4
1.15:30:00,A1,0.3736,ATD 4B4,A1,1.15,30,0,1.65
1.15:45:00,A1,0.374,ATD 4B4,A1,1.15,45,0,1.9
1.16:00:00,A1,0.3736,ATD 4B4,A1,1.16,0,0,1.16
1.16:15:00,A1,0.3748,ATD 4B4,A1,1.16,15,0,1.41
1.16:30:00,A1,0.3753,ATD 4B4,A1,1.16,30,0,1.66
1.16:45:00,A1,0.3757,ATD 4B4,A1,1.16,45,0,1.91
1.17:00:00,A1,0.3759,ATD 4B4,A1,1.17,0,0,1.17
1.17:15:00,A1,0.3757,ATD 4B4,A1,1.17,15,0,1.42
1.17:30:00,A1,0.3758,ATD 4B4,A1,1.17,30,0,1.67
1.17:45:00,A1,0.376,ATD 4B4,A1,1.17,45,0,1.92
1.18:00:00,A1,0.3761,ATD 4B4,A1,1.18,0,0,1.18
1.18:15:00,A1,0.3766,ATD 4B4,A1,1.18,15,0,1.43
1.18:30:00,A1,0.376,ATD 4B4,A1,1.18,30,0,1.68
